income_declared,income_detected,address_mismatch,device_location,document_authenticity_score,account_balance_pattern,employment_mismatch,rapid_loan_requests,fraud_probability,fraud_flag
133804,137023.0,1,0,0.6906342121347863,0.9069481463825071,1,0,0.4202933094369631,0
189161,126221.59987478965,0,0,0.8217103380817997,0.3947873977706903,1,0,0.30211317444634656,0
174380,169616.0,0,0,0.9854375028758325,0.7651965432797982,0,0,0.012474375786801606,0
115875,116949.0,0,1,0.9571293967887459,0.7439824953559553,0,0,0.011818133587234644,0
133026,129582.0,0,0,0.9400981764015539,0.3088621649530395,0,0,0.021041751215562204,0
49339,32208.36551534319,1,0,0.35579940024407225,0.5356996424951214,1,1,0.7003610682806993,1
174444,175204.0,0,1,0.9682196908576042,0.9830301419103187,0,0,0.007880906477764895,0
36424,28764.0,1,1,0.6212898241360716,0.558688801282621,1,0,0.4993473503495922,0
155543,158767.0,0,0,0.9042553837441164,0.2913408254088637,0,0,0.026403508799867435,0
107245,70018.89245657314,0,0,0.7229099950889711,0.7236200533166612,1,1,0.4269074656677333,0
153429,150031.0,0,0,0.8138864817740338,0.29271740319725253,0,0,0.04497417175096204,0
127611,129401.0,0,0,0.9156082965705851,0.9480865998987325,0,0,0.02178779206546625,0
163120,59974.89267810368,1,0,0.37311540608097754,0.21294318438982549,1,1,0.7966912123263726,1
165429,87125.5260265379,0,0,0.646939311792992,0.6160640602140248,1,0,0.38627968015638825,0
130538,134933.0,0,0,0.9236886705627162,0.26839499006651857,0,0,0.027046190874816765,0
98498,101021.0,0,0,0.9618697754000132,0.5284653432375395,0,0,0.01659120157292433,0
128651,130526.0,0,1,0.8907377560197388,0.6137971818810475,0,0,0.02695345850448824,0
198147,201657.0,0,0,0.9623385823762829,0.653776474308923,0,0,0.013732225991699772,0
163018,164131.0,0,1,0.9409457275761436,0.9426940927067169,0,0,0.014200467901694568,0
20430,24520.0,0,0,0.9328057824962941,0.43897622251625884,0,0,0.08350737017719737,0
87680,85986.0,1,0,0.6241732080371192,0.4013904073907349,1,1,0.5319274478086345,1
177671,174172.0,0,0,0.9874771438018854,0.5771521941350352,0,0,0.009397367475362,0
132298,131778.0,0,0,0.9931752039625364,0.6746760483383736,0,0,0.002740641379558804,0
39154,24948.865874272993,0,0,0.6809831698392785,0.4065883804714383,1,1,0.44078392852906545,0
100454,99111.0,1,0,0.6513709719053284,0.40022387330136877,1,0,0.4244050617958909,0
142153,145192.0,0,0,0.9280067226370732,0.48943236349660346,0,0,0.021881086374500903,0
132030,132314.0,0,1,0.9704365051900079,0.9488069382700135,0,0,0.006665558160665389,0
159529,165508.0,1,0,0.7037619386475136,0.522495804949707,1,1,0.5223652899341196,1
119016,118512.0,0,1,0.9336681235467261,0.7321705698593672,0,0,0.014748528950666874,0
72993,42274.00078797507,1,0,0.6810504276568417,0.774284504685314,1,1,0.6610869117726023,1
192007,104127.34414694007,1,0,0.45081906449572157,0.503487579768557,1,1,0.7200276361030846,1
177820,94533.40761071483,0,0,0.8241929930829677,0.4402619877007472,1,1,0.44909294640786834,0
93434,96157.0,0,0,0.9066798560685108,0.27677586909554713,0,0,0.028864277089913234,0
134462,74307.28104975466,0,0,0.7076429037264964,0.25282927396591914,1,0,0.3650521010278847,0
156238,158167.0,0,0,0.8318358787075552,0.36882844814994825,0,0,0.03795411613370499,0
133890,129799.0,0,0,0.9208457270598199,0.40159522520281055,0,0,0.02652508119196461,0
129775,75868.35629391034,1,0,0.6953165436971133,0.7366995216307743,1,1,0.6563215904871724,1
40076,28406.757682048123,0,1,0.7927479521358852,0.2349971638705066,1,0,0.2933626466045416,0
189818,184915.0,0,0,0.8771211972289081,0.36003032157128045,0,0,0.03361626250872216,0
73690,75450.0,0,0,0.8343793552785679,0.4164453546083743,0,0,0.041483472138749714,0
141877,144467.0,0,0,0.8987907670511034,0.4588636452270891,0,0,0.02663118383260233,0
114016,110153.0,0,0,0.8098678133809007,0.35228962274116704,0,0,0.04988486070299471,0
159627,159766.0,0,0,0.9321966190898177,0.5742892047688621,0,0,0.013865449184097524,0
116704,119321.0,0,1,0.9501871432831783,0.7737002735615288,0,0,0.017811059827049554,0
22866,20276.0,0,0,0.9446572768501675,0.7690342723301,0,0,0.050712557574950315,0
53030,30116.962068144043,0,0,0.6503937161224014,0.6223663707269066,1,0,0.37114817127956623,0
99048,94341.0,0,1,0.967714924465408,0.539504821059563,0,0,0.023089859788285018,0
116533,115796.0,0,1,0.9256296900735123,0.7527811725368831,0,0,0.017087598065206246,0
27735,23021.0,0,0,0.9428712176551203,0.6954050610944189,0,0,0.07091376800674411,0
26026,21214.0,0,0,0.8241275076283019,0.25917870604724175,0,0,0.09988670934039665,0
148048,143123.0,0,0,0.8432408720338201,0.9429990610993162,0,0,0.0429950088851413,0
141058,141625.0,0,0,0.8118543942659019,0.351778314946402,0,0,0.039035989243630866,0
135641,133543.0,0,0,0.8176715154318297,0.41304833491587767,0,0,0.041879251812226674,0
49259,53198.0,0,0,0.8793055642707742,0.2208381512072693,0,0,0.052126666028891905,0
